,Retweets,Favorites,Followers,ScreenName,Text
5476,1081,5195,26336315,WhiteHouse45,"One of today's major updates: On Friday, @US_FDA authorized a new Coronavirus test that delivers results in as little as five minutes. https://t.co/Itk9BOrXCB"
3862,5777,20988,26336315,WhiteHouse45,LIVE: Press Briefing with Coronavirus Task Force https://t.co/io9HpU9q2o
3099,5856,24735,26336315,WhiteHouse45,"FEMA has shipped or delivered 11.6 million N95 respirators, 26 million surgical masks, 5.2 million face shields, 4.3 million surgical gowns, 22 million gloves, and 8,100 ventilators. https://t.co/yl7Pn1OBct"
10270,348,1093,26336309,WhiteHouse45,Watch President @realDonaldTrump's press briefing with the Coronavirus Task Force LIVE at 5:00 p.m. ET: https://t.co/EmsdctGWtd https://t.co/FODW7DgZ50
12060,707,2631,26336191,WhiteHouse45,"A new COVID-19 app, created in partnership with the White House, @Apple, @CDCgov, and @FEMA, is available for download from the App Store! https://t.co/Gw8jjJVoGI"
8116,1142,7092,26131257,premierleague,"Stay home. Save lives.

Together #WeAreOneTeam https://t.co/iBoZLRWwQQ"
11400,698,791,25665199,TheEconomist,China's initial cover-up will forever colour judgments of what came next https://t.co/3ph2CXMlyp
11211,5932,10042,25665198,TheEconomist,We explain how coronavirus originated and why hand-washing is such a valuable barrier  https://t.co/NxDgZEH6PW
11176,52,72,25665198,TheEconomist,"People began searching increasingly for ""epidemic"" in mid-January, and ""pandemic"" in early February https://t.co/RNvnxbEYo1"
4786,18,41,25665192,TheEconomist,The sheer scale of panic buying in some places in recent weeks has led Unilever to turn monthly sales forecasts into weekly ones https://t.co/v4E1z8QxKN
1546,9534,64922,25376111,AmitShah,"हमारे अर्धसैनिक बलों ने सदैव भारत की सुरक्षा और एकता के लिए अपना योगदान दिया है।

COVID-19 से लड़ने के लिए प्रधानमंत्री @narendramodi जी के आवाहन पर सभी अर्धसैनिक बलों के जवानों ने अपने एक दिन का वेतन (कुल योग ₹116 करोड़) PM-CARES में दिया है।

सभी के प्रति आभार व्यक्त करता हूँ। https://t.co/airwvnL0cQ"
1556,106,100,23385708,Reuters,"U.S. deaths from coronavirus could reach 200,000 with millions of cases, the government’s top infectious diseases expert warned https://t.co/GCtnBWu9hd https://t.co/h5Syu2DODr"
10264,10,15,23385704,Reuters,Factbox: Sports events around the world hit by coronavirus pandemic https://t.co/KLe54ECP8e https://t.co/LnpIq929ms
7714,27,69,23385703,Reuters,Partisan divide returns in U.S. Congress on coronavirus next steps https://t.co/kQ89QunPwh https://t.co/Zdji2M5nJS
8561,16,32,23385703,Reuters,Zimbabwe brings back foreign currencies ahead of coronavirus lockdown https://t.co/7AJZfoRj1J https://t.co/f2mxJguNiL
6233,41,27,23385701,Reuters,Egypt's banks told to limit withdrawals and deposits https://t.co/fSl0BhZm3L https://t.co/ugyj4sfcOi
10674,53011,248612,20396173,BIGHIT_MUSIC,"[기사] #BTS, Billie Eilish to join James Corden for quarantine edition of 'Late Late Show' https://t.co/dbj1hyTUMV"
7747,518,1939,20177328,FoxNews,"President Trump declared that ""the peak in death rate"" in the coronavirus pandemic ""is likely to hit in two weeks,"" and said the federal government will be extending its social-distancing guidelines through April 30. https://t.co/AbT252DH2g"
1341,730,666,19668489,CNNEE,"Si recibes un mensaje diciendo que Netflix ofrece suscripciones gratuitas a causa del coronavirus… ¡no lo abras! es una estafa.

https://t.co/OPXTkNmU8q"
10033,37,46,19668481,CNNEE,"Argentina confirma 75 casos nuevos de coronavirus; llegan a 820 los pacientes en el país

https://t.co/bld9ioyhtF https://t.co/4Dq0ZUhVEN"
5023,72,106,19668475,CNNEE,"¿Son seguros los envíos de comida a domicilio durante la pandemia de coronavirus? Sí, dicen los expertos

https://t.co/7LTskogXdx"
4006,117,142,19668472,CNNEE,"Síntomas del coronavirus: esta es la lista completa para saber cuándo pedir ayuda

https://t.co/VKzGlJAlS3 https://t.co/Ab1Az7VuXr"
11095,5405,33516,18914501,Pontifex,"Profoundly moved and troubled, He weeps (Jn 11:35). We ask the Lord for the grace of weeping today before all the people who are suffering the consequences of this pandemic. May today be for everyone like a Sunday of tears. #HomilySantaMarta"
765,4574,22078,18914501,Pontifex,"Let us pray today for those persons who are beginning to experience economic problems due to the pandemic, because they cannot work. All of this affects the family. #PrayTogether https://t.co/EHnyqJsDwK"
1771,6288,29373,18914501,Pontifex,We are one human family. Let us bring all hostilities to a halt.  May our joint fight against the #COVID-19 pandemic bring everyone to recognize the great need to reinforce brotherly and sisterly bonds. #globalceasefire @antonioguterres @UN
10039,26,54,18840351,WSJ,"Governors in Rhode Island, Florida and Texas, among others, have tightened restrictions on out-of-state travelers. In particular, they have targeted those coming from New York, the pandemic’s U.S. epicenter. https://t.co/VTBZx4VML4"
2524,6886,29216,18698957,Pontifex_es,Somos una única familia humana. Detengamos toda hostilidad bélica. Que el esfuerzo conjunto contra la pandemia #COVID19 nos haga reconocer nuestra necesidad de reforzar los lazos fraternos. @antonioguterres @UN
9568,22274,143062,18621545,ImRaina,It’s time we all do our bit to help defeat #COVID19. I’m pledging ₹52 lakh for the fight against #Corona (₹31 lakh to the  PM-CARES Fund &amp; ₹21 lakh to the UP CM’s Disaster Relief Fund). Please do your bit too. Jai Hind!#StayHomeIndia @narendramodi @PMOIndia @myogiadityanath
9291,969,1699,18167080,TIME,“You must wash properly.” Newspaper ads from the 1918 flu pandemic show some things never change https://t.co/hUv7QLYTYt
7858,652,1138,18167079,TIME,"Dr. Fauci says coronavirus deaths in U.S. could top 100,000
https://t.co/Iz6pLtvZvn https://t.co/XyudxsF2J7"
2184,9077,38308,18139284,RahulGandhi,"Earlier today I wrote a letter to the PM on the Coronavirus crisis. While I’ve offered him my complete support in dealing with this extraordinary situation, I’ve also shared some of my concerns about the ongoing lockdown. My letter is forwarded with this tweet https://t.co/CjxLnFJTM5"
1512,15258,54246,18139283,RahulGandhi,The lockdown will devastate our poor &amp; weak. It will deliver a heavy blow to the India we love. India isn’t black &amp; white. Our decisions have to be carefully thought through. A more nuanced &amp; compassionate approach is required to deal with this crisis. It’s still not too late. https://t.co/qZuoABfOMi
1723,518,2725,17886010,washingtonpost,"New York Gov. Andrew Cuomo during the covid-19 crisis is the same as ever, with one big difference: People like him https://t.co/SdX0TDpPNi"
12186,83,173,17886008,washingtonpost,"Truckers step up as coronavirus pumps demand for necessities, but face mounting obstacles https://t.co/0oRvKekn8v"
10665,104,207,17886007,washingtonpost,Opinion: Russia claims it has covid-19 under control. The facade is cracking. https://t.co/bf8wKhINg6
10004,1169,3128,17886007,washingtonpost,The coronavirus recession is exposing how the economy was not strong as it seemed https://t.co/ZUpvfMB5Um
6497,258,1580,17384603,Arsenal,"Right now, it's the only goal that matters. 

Stay home. Save lives. 

#WeAreOneTeam https://t.co/44e0RaYkjt"
1358,9,34,16866233,detikcom,"Ketika dunia tengah disibukkan dengan penanganan wabah virus corona, perampok benda seni mencuri tiga lukisan di kompleks Universitas Oxford, Inggris. https://t.co/R1Ca7DCesI"
12294,18,82,16866232,detikcom,"Dua remaja di Palopo, Sulawesi Selatan, keluyuran keluar rumah di tengah pandemi virus corona COVID-19. Keduanya juga kedapatan mengisap lem. https://t.co/4tDlgVUq5K"
299,248,673,16866232,detikcom,India memutuskan melockdown atau mengunci negaranya demi mencegah virus Corona. Belum seminggu kekacauan justru terjadi akibat kebijakan lockdown total itu. https://t.co/mXR8FSb9hO
11434,1384,4410,16866230,detikcom,"Walikota Bontang, Neni Moernaini berinisiatif menyumbangkan semua gajinya selama 6 bulan untuk membeli segala kebutuhan masyarakat yang terdampak Corona. https://t.co/C5tOP1UT6n"
9066,117,390,16866229,detikcom,Dalam surat tersebut menyebutkan pemerintah daerah dapat menetapkan status keadaan darurat bencana COVID-19. https://t.co/QzGv8oh0h9
9145,14,44,16866229,detikcom,Memutus rantai penyebaran virus corona terbaru menjadi prioritas utama pemerintah. Beragam cara digunakan dan kini tengah digaungkan opsi karantina wilayah. https://t.co/toGv6cUCHx
4780,29,94,16866226,detikcom,Ilmuwan senior Amerika Serikat Dr. Anthony Fauci mengeluarkan prediksi bahwa virus corona bisa merenggut hingga 200 ribu nyawa di AS. https://t.co/l7TREDmg4L
3990,23,46,16866225,detikcom,"""Dokter spesialis di rumah sakit gak akan mampu menangani ledakan (pasien) kalau tidak dilakukan pendekatan kesehatan masyarakat,"" kata Prof Wiku Adisasmito. https://t.co/6T6gC20LkI"
2843,20,50,16866225,detikcom,"Dua orang Pasien Dalam Pengawasan (PDP) virus Corona (COVID-19) di Kabupaten Kudus, Jawa Tengah meninggal dunia. https://t.co/1UR6RCeJby"
1235,366,2466,16667508,ChelseaFC,"Stay home. Save lives.

Together #WeAreOneTeam https://t.co/OCEWutf3dZ"
12704,644,1083,16646221,ABC,"BREAKING: President Trump extends White House coronavirus guidelines: ""We will be extending our guidelines to April 30th, to slow the spread. https://t.co/f8v3xLemaU https://t.co/g25JWGe47q"
7195,198,441,16646215,ABC,HAPPENING NOW: Pres. Trump and members of the coronavirus task force hold a briefing on COVID-19 from the Rose Garden. https://t.co/f8v3xLvX2s https://t.co/xn1wlaj1Qf
4482,7528,23686,16646214,ABC,"A Saudi nurse falls to the ground in tears after he is forced to refuse giving his son a hug following his shift, as to try and protect his family from the novel coronavirus. https://t.co/vcKNEgTAxi https://t.co/btVIj1Oabt"
1143,3360,18415,16402725,FLOTUS45,I encourage parents to let children know this will not last forever. Keep a positive attitude and try to create some time for fun with your loved ones. https://t.co/tGWsVn4ykB
1110,8796,22759,15661430,jokowi,"Apa itu isolasi mandiri? Mengapa 14 hari? Apa yang boleh dan tidak boleh dilakukan selama isolasi mandiri?

Inilah protokol dasar isolasi mandiri dalam penanganan Covid-19 yang diramu dari sumber resmi WHO dan para ahli kesehatan. (1/3) https://t.co/7YOEU7sm9Q"
2435,770,4783,15230150,BernieSanders,"There is no excuse for the wealthiest nation on Earth not to be prepared to have adequate test kits for a pandemic, or have the protective masks, gloves and gowns our medical personnel require."
11314,5445,21761,15230147,BernieSanders,Corporate-run health insurance isn't about saving lives. It's about making as much money as possible. With Medicare for All we can finally put an end to this international disgrace. https://t.co/sZrb6FcUPz
12852,712,3784,15230147,BernieSanders,"Our dysfunctional health care system must be replaced by a Medicare for All, single-payer system, which not only guarantees health care for everyone as a right, but has a strong public health component which prepares our country for health care crises like the coronavirus."
11954,3448,13864,15230146,BernieSanders,"Along with pausing mortgage payments, evictions, and utility shutoffs, we must place a moratorium on rent payments, especially in states hardest-hit by the coronavirus like New York. We must build on the important work @sengianaris and others are doing to make this happen. https://t.co/FKDbZYk4Pp"
12364,439,512,15164664,AP,"BREAKING: More than 1,000 people have now died from the coronavirus in New York state, more than two-thirds of them in NYC. Find updates here: https://t.co/AEcxIvZPpZ"
7520,715,861,15164662,AP,BREAKING: President Trump extends federal social distancing guidance for 30 days as scientists warn virus continues to spread. https://t.co/OASt7rnGC2
